month,year,quarter,artist,genre,country,region,total_streams,premium_streams,free_streams,premium_revenue_usd,ad_revenue_usd,total_revenue_usd,saves,playlist_adds,skip_rate,popularity_score,artist_trend
2022-01,2022,Q1,Newjeans,K-Pop,United Kingdom,Europe,1981695,1288101,693594,14.21,1881.48,1895.69,87730,90188,0.31,70,Stable
2022-01,2022,Q1,Paramore,Rock,United Kingdom,Europe,733721,476918,256803,4.92,261.53,266.45,19141,26810,0.081,100,Stable
2022-01,2022,Q1,H.E.R.,R&B,United Kingdom,Europe,2930183,1904618,1025565,18.73,3065.33,3084.06,89533,31420,0.213,68,Rising
2022-01,2022,Q1,Coldplay,Rock,United Kingdom,Europe,404637,263014,141623,2.9,327.89,330.79,21890,5562,0.179,100,Stable
2022-01,2022,Q1,Travis Scott,Hip-Hop,United Kingdom,Europe,3768378,2449445,1318933,27.99,2602.89,2630.88,280238,103162,0.175,100,Declining
2022-01,2022,Q1,Arctic Monkeys,Rock,United Kingdom,Europe,2826926,1837501,989425,17.15,1037.54,1054.69,166020,48296,0.334,100,Rising
2022-01,2022,Q1,Post Malone,Hip-Hop,Germany,Europe,524659,367261,157398,3.94,457.42,461.36,20905,16847,0.235,100,Declining
2022-01,2022,Q1,Peso Pluma,Latin,Germany,Europe,309185,216429,92756,2.09,250.65,252.74,12062,5188,0.23,82,Rising
2022-01,2022,Q1,Twenty One Pilots,Rock,Germany,Europe,1165044,815530,349514,7.16,779.42,786.58,92508,18178,0.22,100,Stable
2022-01,2022,Q1,Lil Baby,Hip-Hop,Germany,Europe,2221301,1554910,666391,16.51,1403.18,1419.69,83944,59511,0.149,81,Declining
2022-01,2022,Q1,Taylor Swift,Pop,Germany,Europe,5134897,3594427,1540470,35.92,3999.97,4035.89,302947,195530,0.295,100,Stable
2022-01,2022,Q1,Drake,Hip-Hop,Germany,Europe,4265717,2986001,1279716,30.54,2401.96,2432.5,257314,98649,0.122,98,Stable
2022-01,2022,Q1,Rauw Alejandro,Latin,Germany,Europe,563837,394685,169152,3.39,181.79,185.18,39105,13761,0.114,99,Stable
2022-01,2022,Q1,Davido,Afrobeats,Germany,Europe,136256,95379,40877,1.09,78.26,79.35,9608,2421,0.191,92,Rising
2022-01,2022,Q1,Frank Ocean,R&B,Germany,Europe,1764428,1235099,529329,14.08,1285.84,1299.92,39636,45791,0.197,82,Rising
2022-01,2022,Q1,Miley Cyrus,Pop,Germany,Europe,710807,497564,213243,4.86,506.88,511.74,16698,33129,0.199,100,Stable
2022-01,2022,Q1,Nicki Minaj,Hip-Hop,Germany,Europe,2604036,1822825,781211,19.09,1218.59,1237.68,201270,102900,0.23,100,Stable
2022-01,2022,Q1,The Weeknd,R&B/Pop,Sweden,Europe,4815601,3467232,1348369,37.09,1776.2,1813.29,131031,114010,0.105,81,Rising
2022-01,2022,Q1,Billie Eilish,Pop,Sweden,Europe,518651,373428,145223,4.16,282.94,287.1,13417,15385,0.208,100,Declining
2022-01,2022,Q1,Bad Bunny,Latin,Sweden,Europe,554054,398918,155136,3.62,449.63,453.25,40557,11322,0.084,88,Stable
2022-01,2022,Q1,Brent Faiyaz,R&B,Sweden,Europe,1710614,1231642,478972,13.54,635.05,648.59,41455,61063,0.087,65,Rising
2022-01,2022,Q1,Asake,Afrobeats,Sweden,Europe,1278951,920844,358107,10.17,768.76,778.93,35439,54289,0.302,55,Rising
2022-01,2022,Q1,Sza,R&B,Sweden,Europe,1032709,743550,289159,8.75,402.39,411.14,24951,14490,0.085,87,Stable
2022-01,2022,Q1,Paramore,Rock,Sweden,Europe,5467476,3936582,1530894,39.05,4117.72,4156.77,116983,232798,0.156,100,Stable
2022-01,2022,Q1,J. Cole,Hip-Hop,Sweden,Europe,491759,354066,137693,4.2,148.48,152.68,22166,23950,0.228,100,Stable
2022-01,2022,Q1,Dua Lipa,Pop,Sweden,Europe,3812983,2745347,1067636,30.8,1340.29,1371.09,133458,126674,0.314,100,Rising
2022-01,2022,Q1,Bts,K-Pop,Sweden,Europe,1014946,730761,284185,8.24,713.04,721.28,26578,46791,0.216,77,Stable
2022-01,2022,Q1,Ariana Grande,Pop,France,Europe,450226,279140,171086,2.45,189.39,191.84,34898,19758,0.176,100,Stable
2022-01,2022,Q1,Bad Bunny,Latin,France,Europe,796869,494058,302811,5.04,685.47,690.51,37378,17314,0.169,88,Stable
2022-01,2022,Q1,Billie Eilish,Pop,France,Europe,8145600,5050272,3095328,54.71,3797.75,3852.46,617890,398889,0.349,100,Declining
2022-01,2022,Q1,Coldplay,Rock,France,Europe,322756,200108,122648,1.91,151.36,153.27,9224,13058,0.247,100,Stable
2022-01,2022,Q1,Burna Boy,Afrobeats,France,Europe,3053901,1893418,1160483,18.33,3230.55,3248.88,87941,93244,0.143,76,Rising
2022-01,2022,Q1,Martin Garrix,Electronic,France,Europe,9900705,6138437,3762268,67.08,10889.87,10956.95,783740,397366,0.182,100,Rising
2022-01,2022,Q1,Calvin Harris,Electronic,France,Europe,335966,208298,127668,2.03,359.09,361.12,8960,9979,0.083,100,Rising
2022-01,2022,Q1,Rema,Afrobeats,France,Europe,3825426,2371764,1453662,25.59,3845.78,3871.37,247324,142464,0.144,70,Rising
2022-01,2022,Q1,Imagine Dragons,Rock,France,Europe,6178626,3830748,2347878,38.59,4396.8,4435.39,420928,303469,0.23,100,Stable
2022-01,2022,Q1,Travis Scott,Hip-Hop,France,Europe,1912320,1185638,726682,10.33,1531.63,1541.96,149463,59136,0.25,100,Declining
2022-01,2022,Q1,Olivia Rodrigo,Pop,France,Europe,7371183,4570133,2801050,48.35,4953.39,5001.74,473421,343572,0.339,100,Rising
2022-01,2022,Q1,Dua Lipa,Pop,France,Europe,4329550,2684321,1645229,27.78,2557.94,2585.72,135459,123599,0.175,100,Rising
2022-01,2022,Q1,Burna Boy,Afrobeats,Ireland,Europe,1200474,768303,432171,8.79,1035.62,1044.41,62623,26867,0.3,77,Rising
2022-01,2022,Q1,Billie Eilish,Pop,Ireland,Europe,661686,423479,238207,4.64,690.7,695.34,42045,22852,0.193,100,Declining
2022-01,2022,Q1,Post Malone,Hip-Hop,Ireland,Europe,2752762,1761767,990995,15.83,1806.1,1821.93,183488,80421,0.346,100,Declining
2022-01,2022,Q1,The Weeknd,R&B/Pop,Ireland,Europe,3061700,1959488,1102212,22.33,2958.6,2980.93,215236,88016,0.192,85,Rising
2022-01,2022,Q1,Bad Bunny,Latin,Ireland,Europe,2879262,1842727,1036535,19.47,2144.27,2163.74,187136,133962,0.238,78,Stable
2022-01,2022,Q1,Lil Baby,Hip-Hop,Ireland,Europe,1858392,1189370,669022,10.96,943.38,954.34,65204,39006,0.136,85,Declining
2022-01,2022,Q1,Bts,K-Pop,Ireland,Europe,256629,164242,92387,1.57,113.37,114.94,15473,7907,0.289,81,Stable
2022-01,2022,Q1,Martin Garrix,Electronic,Ireland,Europe,3347462,2142375,1205087,24.41,1418.17,1442.58,225984,112468,0.21,100,Rising
2022-01,2022,Q1,Rema,Afrobeats,Ireland,Europe,2159149,1381855,777294,12.62,989.3,1001.92,45067,51870,0.239,70,Rising
2022-01,2022,Q1,Rema,Afrobeats,Spain,Europe,3533060,1943183,1589877,19.69,3023.66,3043.35,263666,77438,0.221,75,Rising
2022-01,2022,Q1,Asake,Afrobeats,Spain,Europe,1634992,899245,735747,10.13,1459.89,1470.02,58033,46377,0.345,54,Rising
2022-01,2022,Q1,Nicki Minaj,Hip-Hop,Spain,Europe,6212342,3416788,2795554,34.95,4705.27,4740.22,324506,176460,0.238,100,Stable
2022-01,2022,Q1,Fred Again..,Electronic,Spain,Europe,4830609,2656834,2173775,24.01,3676.58,3700.59,356534,139887,0.26,100,Declining
2022-01,2022,Q1,Lil Baby,Hip-Hop,Spain,Europe,3271730,1799451,1472279,16.19,2292.6,2308.79,100182,44325,0.113,78,Declining
2022-01,2022,Q1,Disclosure,Electronic,Spain,Europe,470001,258500,211501,2.29,351.13,353.42,18468,6435,0.21,100,Rising
2022-01,2022,Q1,Olivia Rodrigo,Pop,Spain,Europe,4157877,2286832,1871045,19.84,2907.15,2926.99,284282,166025,0.13,100,Rising
2022-01,2022,Q1,Paramore,Rock,Spain,Europe,1829800,1006390,823410,9.26,2074.92,2084.18,94922,71034,0.097,100,Stable
2022-01,2022,Q1,Drake,Hip-Hop,Spain,Europe,4486444,2467544,2018900,27.57,4084.95,4112.52,232966,64097,0.201,86,Stable
2022-01,2022,Q1,Giveon,R&B,Italy,Europe,869772,452281,417491,4.35,434.25,438.6,34203,16054,0.168,84,Rising
2022-01,2022,Q1,21 Savage,Hip-Hop,Italy,Europe,2268548,1179644,1088904,12.42,2807.57,2819.99,113215,30572,0.225,82,Declining
2022-01,2022,Q1,Drake,Hip-Hop,Italy,Europe,288663,150104,138559,1.53,243.52,245.05,11617,13274,0.244,91,Stable
2022-01,2022,Q1,Bts,K-Pop,Italy,Europe,1758723,914535,844188,9.43,1244.72,1254.15,45914,28340,0.146,71,Stable
2022-01,2022,Q1,Bad Bunny,Latin,Italy,Europe,1345085,699444,645641,6.3,1803.62,1809.92,33376,41671,0.191,85,Stable
2022-01,2022,Q1,Lil Baby,Hip-Hop,Italy,Europe,2600438,1352227,1248211,13.82,3538.42,3552.24,52835,127428,0.213,83,Declining
2022-01,2022,Q1,Martin Garrix,Electronic,Italy,Europe,2812014,1462247,1349767,14.76,2636.42,2651.18,197726,51187,0.341,100,Rising
2022-01,2022,Q1,Coldplay,Rock,Italy,Europe,1939756,1008673,931083,10.17,2248.06,2258.23,128153,26170,0.217,100,Stable
2022-01,2022,Q1,Post Malone,Hip-Hop,Italy,Europe,1328170,690648,637522,5.97,1066.71,1072.68,37274,16648,0.347,100,Declining
2022-01,2022,Q1,Tyla,Afrobeats,Italy,Europe,1104157,574161,529996,6.05,1335.83,1341.88,61543,31869,0.191,78,Rising
2022-01,2022,Q1,Harry Styles,Pop,Italy,Europe,11082056,5762669,5319387,61.82,9665.52,9727.34,841973,550081,0.135,100,Stable
2022-01,2022,Q1,Calvin Harris,Electronic,Italy,Europe,3696246,1922047,1774199,16.6,4547.32,4563.92,257541,147924,0.296,100,Rising
2022-01,2022,Q1,Tyla,Afrobeats,United States,Americas,2944442,1707776,1236666,19.7,2530.38,2550.08,122282,132759,0.186,86,Rising
2022-01,2022,Q1,J Balvin,Latin,United States,Americas,3519890,2041536,1478354,22.19,2369.44,2391.63,228287,105979,0.143,100,Rising
2022-01,2022,Q1,Lil Baby,Hip-Hop,United States,Americas,9737419,5647703,4089716,54.0,5963.01,6017.01,511905,265453,0.17,100,Declining
2022-01,2022,Q1,Olivia Rodrigo,Pop,United States,Americas,1501911,871108,630803,10.66,1255.83,1266.49,96854,49451,0.349,100,Rising
2022-01,2022,Q1,Nicki Minaj,Hip-Hop,United States,Americas,7669707,4448430,3221277,52.47,3437.31,3489.78,415647,310610,0.317,100,Stable
2022-01,2022,Q1,Imagine Dragons,Rock,United States,Americas,4194761,2432961,1761800,25.77,3372.09,3397.86,235902,126226,0.226,100,Stable
2022-01,2022,Q1,Brent Faiyaz,R&B,United States,Americas,5024924,2914455,2110469,34.14,4816.71,4850.85,309720,159335,0.148,100,Rising
2022-01,2022,Q1,Sza,R&B,United States,Americas,4184076,2426764,1757312,25.41,2556.37,2581.78,190023,90029,0.246,100,Stable
2022-01,2022,Q1,J Balvin,Latin,Brazil,Americas,2929103,1113059,1816044,5.74,1881.82,1887.56,211854,138501,0.233,100,Rising
2022-01,2022,Q1,Disclosure,Electronic,Brazil,Americas,1605778,610195,995583,3.18,2531.26,2534.44,68191,20484,0.101,64,Rising
2022-01,2022,Q1,Bts,K-Pop,Brazil,Americas,4586372,1742821,2843551,8.57,3487.55,3496.12,362738,199763,0.114,89,Stable
2022-01,2022,Q1,Miley Cyrus,Pop,Brazil,Americas,5093283,1935447,3157836,8.87,6997.1,7005.97,217780,202559,0.136,100,Stable
2022-01,2022,Q1,J. Cole,Hip-Hop,Brazil,Americas,632234,240248,391986,1.16,813.29,814.45,47538,15081,0.174,100,Stable
2022-01,2022,Q1,Ed Sheeran,Pop,Brazil,Americas,12055799,4581203,7474596,22.53,9580.29,9602.82,368705,360886,0.193,100,Rising
2022-01,2022,Q1,21 Savage,Hip-Hop,Brazil,Americas,8697425,3305021,5392404,15.39,7766.11,7781.5,284935,266201,0.343,100,Declining
2022-01,2022,Q1,Coldplay,Rock,Brazil,Americas,2499504,949811,1549693,4.15,4639.39,4643.54,125304,84521,0.098,86,Stable
2022-01,2022,Q1,Arctic Monkeys,Rock,Brazil,Americas,8791336,3340707,5450629,15.92,10554.94,10570.86,505489,220741,0.306,100,Rising
2022-01,2022,Q1,Sza,R&B,Brazil,Americas,3392064,1288984,2103080,6.34,4308.75,4315.09,157547,88297,0.231,100,Stable
2022-01,2022,Q1,Twenty One Pilots,Rock,Brazil,Americas,3942233,1498048,2444185,6.52,6126.33,6132.85,143253,180937,0.222,86,Stable
2022-01,2022,Q1,Twenty One Pilots,Rock,Mexico,Americas,1652404,578341,1074063,2.56,1950.47,1953.03,87748,33305,0.133,95,Stable
2022-01,2022,Q1,J Balvin,Latin,Mexico,Americas,5481277,1918446,3562831,8.34,4835.08,4843.42,324298,107034,0.107,100,Rising
2022-01,2022,Q1,Rema,Afrobeats,Mexico,Americas,1818230,636380,1181850,2.77,3457.26,3460.03,139393,28443,0.19,69,Rising
2022-01,2022,Q1,Post Malone,Hip-Hop,Mexico,Americas,10072862,3525501,6547361,12.32,9269.57,9281.89,217492,173831,0.237,100,Declining
2022-01,2022,Q1,Ed Sheeran,Pop,Mexico,Americas,1507177,527511,979666,2.18,1637.74,1639.92,104758,36959,0.089,100,Rising
2022-01,2022,Q1,Newjeans,K-Pop,Mexico,Americas,2724658,953630,1771028,3.86,3315.81,3319.67,102632,130615,0.286,59,Stable
2022-01,2022,Q1,Stray Kids,K-Pop,Mexico,Americas,1141338,399468,741870,1.83,1440.81,1442.64,35297,33545,0.218,81,Declining
2022-01,2022,Q1,Billie Eilish,Pop,Mexico,Americas,4048337,1416917,2631420,5.24,3364.83,3370.07,283771,199891,0.222,100,Declining
2022-01,2022,Q1,Harry Styles,Pop,Mexico,Americas,7534892,2637212,4897680,11.83,6051.09,6062.92,411337,157947,0.23,100,Stable
2022-01,2022,Q1,Ariana Grande,Pop,Mexico,Americas,7241768,2534618,4707150,8.92,6025.33,6034.25,259407,149614,0.278,100,Stable
2022-01,2022,Q1,Miley Cyrus,Pop,Mexico,Americas,2448128,856844,1591284,3.09,4501.46,4504.55,110474,62000,0.22,100,Stable
2022-01,2022,Q1,Sza,R&B,Colombia,Americas,8022783,2406834,5615949,8.66,8371.69,8380.35,347849,172872,0.176,100,Stable
2022-01,2022,Q1,Rauw Alejandro,Latin,Colombia,Americas,1938524,581557,1356967,2.02,3158.13,3160.15,147734,76189,0.138,100,Stable
2022-01,2022,Q1,Paramore,Rock,Colombia,Americas,3831130,1149339,2681791,4.42,7221.57,7225.99,296200,62014,0.248,100,Stable
2022-01,2022,Q1,Olivia Rodrigo,Pop,Colombia,Americas,10141878,3042563,7099315,10.34,17108.29,17118.63,566902,287900,0.101,100,Rising
2022-01,2022,Q1,Bad Bunny,Latin,Colombia,Americas,10286851,3086055,7200796,9.17,8685.51,8694.68,399909,435105,0.34,100,Stable
2022-01,2022,Q1,Brent Faiyaz,R&B,Colombia,Americas,7044143,2113242,4930901,6.46,14380.19,14386.65,461416,250475,0.285,100,Rising
2022-01,2022,Q1,H.E.R.,R&B,Colombia,Americas,1725840,517752,1208088,1.67,2390.62,2392.29,57423,85440,0.335,100,Rising
2022-01,2022,Q1,Bts,K-Pop,Colombia,Americas,3767066,1130119,2636947,4.53,5568.21,5572.74,182298,84812,0.113,84,Stable
2022-01,2022,Q1,Aespa,K-Pop,Colombia,Americas,446728,134018,312710,0.53,903.27,903.8,21645,19871,0.308,63,Rising
2022-01,2022,Q1,Coldplay,Rock,Nigeria,Africa,1336449,240560,1095889,0.69,2324.77,2325.46,65303,60674,0.223,56,Stable
2022-01,2022,Q1,Taylor Swift,Pop,Nigeria,Africa,929539,167317,762222,0.47,1584.65,1585.12,62691,21147,0.249,100,Stable
2022-01,2022,Q1,Sza,R&B,Nigeria,Africa,3041380,547448,2493932,1.6,4798.04,4799.64,241547,30442,0.13,100,Stable
2022-01,2022,Q1,Ariana Grande,Pop,Nigeria,Africa,646118,116301,529817,0.3,623.64,623.94,14379,18860,0.237,100,Stable
2022-01,2022,Q1,H.E.R.,R&B,Nigeria,Africa,1951234,351222,1600012,1.03,3960.29,3961.32,66979,28134,0.176,100,Rising
2022-01,2022,Q1,Arctic Monkeys,Rock,Nigeria,Africa,849947,152990,696957,0.47,1083.44,1083.91,63423,10032,0.11,92,Rising
2022-01,2022,Q1,Lil Baby,Hip-Hop,Nigeria,Africa,1592368,286626,1305742,0.97,3359.27,3360.24,40389,42521,0.317,100,Declining
2022-01,2022,Q1,Davido,Afrobeats,Nigeria,Africa,1826855,328833,1498022,1.13,3725.14,3726.27,43660,47613,0.306,100,Rising
2022-01,2022,Q1,Frank Ocean,R&B,Nigeria,Africa,1126863,202835,924028,0.56,1250.26,1250.82,37444,19672,0.29,100,Rising
2022-01,2022,Q1,Burna Boy,Afrobeats,Nigeria,Africa,3843763,691877,3151886,1.89,6418.88,6420.77,214622,119161,0.15,100,Rising
2022-01,2022,Q1,Drake,Hip-Hop,South Africa,Africa,1271191,355933,915258,1.27,2408.65,2409.92,42542,24092,0.225,100,Stable
2022-01,2022,Q1,Bts,K-Pop,South Africa,Africa,2119036,593330,1525706,2.34,2719.33,2721.67,77085,61594,0.092,83,Stable
2022-01,2022,Q1,Taylor Swift,Pop,South Africa,Africa,450541,126151,324390,0.54,506.95,507.49,15840,4596,0.268,100,Stable
2022-01,2022,Q1,J. Cole,Hip-Hop,South Africa,Africa,1302479,364694,937785,1.33,2219.28,2220.61,31999,57371,0.214,100,Stable
2022-01,2022,Q1,Newjeans,K-Pop,South Africa,Africa,1288318,360729,927589,1.47,2155.92,2157.39,67799,57432,0.278,68,Stable
2022-01,2022,Q1,Kendrick Lamar,Hip-Hop,South Africa,Africa,1118494,313178,805316,1.38,2202.21,2203.59,69907,48632,0.268,100,Rising
2022-01,2022,Q1,Sza,R&B,South Africa,Africa,2301020,644285,1656735,2.87,4842.02,4844.89,110283,103920,0.081,100,Stable
2022-01,2022,Q1,The Weeknd,R&B/Pop,South Africa,Africa,1827057,511575,1315482,1.83,3467.52,3469.35,127762,55357,0.082,85,Rising
2022-01,2022,Q1,Wizkid,Afrobeats,South Africa,Africa,3835748,1074009,2761739,4.45,4196.76,4201.21,222628,121207,0.291,100,Rising
2022-01,2022,Q1,Disclosure,Electronic,South Africa,Africa,743223,208102,535121,0.81,1434.25,1435.06,32351,12768,0.283,73,Rising
2022-01,2022,Q1,Travis Scott,Hip-Hop,South Africa,Africa,2459306,688605,1770701,2.39,2836.53,2838.92,153682,31218,0.237,100,Declining
2022-01,2022,Q1,Rema,Afrobeats,Kenya,Africa,4631697,694754,3936943,1.98,9260.1,9262.08,216566,166291,0.24,100,Rising
2022-01,2022,Q1,Drake,Hip-Hop,Kenya,Africa,1081855,162278,919577,0.38,1818.27,1818.65,71645,40387,0.2,100,Stable
2022-01,2022,Q1,Arctic Monkeys,Rock,Kenya,Africa,1576181,236427,1339754,0.52,3628.62,3629.14,81364,67833,0.161,100,Rising
2022-01,2022,Q1,Aespa,K-Pop,Kenya,Africa,1532987,229948,1303039,0.6,2015.17,2015.77,118119,24592,0.197,73,Rising
2022-01,2022,Q1,Taylor Swift,Pop,Kenya,Africa,3465979,519896,2946083,1.25,4561.8,4563.05,273946,91409,0.321,100,Stable
2022-01,2022,Q1,Paramore,Rock,Kenya,Africa,845579,126836,718743,0.34,1527.69,1528.03,40834,26829,0.123,62,Stable
2022-01,2022,Q1,Tyla,Afrobeats,Kenya,Africa,3975014,596252,3378762,1.61,9087.4,9089.01,261005,139319,0.115,100,Rising
2022-01,2022,Q1,Stray Kids,K-Pop,Kenya,Africa,1400257,210038,1190219,0.47,2290.21,2290.68,28108,47515,0.244,73,Declining
2022-01,2022,Q1,Doja Cat,Pop,Kenya,Africa,1903999,285599,1618400,0.64,3727.24,3727.88,75313,63994,0.197,100,Stable
2022-01,2022,Q1,Rema,Afrobeats,Ghana,Africa,1992426,278939,1713487,0.67,3069.01,3069.68,156369,77456,0.257,100,Rising
2022-01,2022,Q1,Wizkid,Afrobeats,Ghana,Africa,8042090,1125892,6916198,2.22,13562.76,13564.98,211473,158282,0.346,100,Rising
2022-01,2022,Q1,21 Savage,Hip-Hop,Ghana,Africa,1735155,242921,1492234,0.59,3162.49,3163.08,35720,40009,0.22,98,Declining
2022-01,2022,Q1,Harry Styles,Pop,Ghana,Africa,1665273,233138,1432135,0.47,2569.03,2569.5,46565,54457,0.266,100,Stable
2022-01,2022,Q1,H.E.R.,R&B,Ghana,Africa,2193394,307075,1886319,0.74,5476.17,5476.91,60215,100564,0.241,100,Rising
2022-01,2022,Q1,Imagine Dragons,Rock,Ghana,Africa,92269,12917,79352,0.03,217.58,217.61,5798,3881,0.172,94,Stable
2022-01,2022,Q1,Billie Eilish,Pop,Ghana,Africa,1281265,179377,1101888,0.42,2418.59,2419.01,85883,37459,0.091,98,Declining
2022-01,2022,Q1,Disclosure,Electronic,Ghana,Africa,647279,90619,556660,0.18,831.76,831.94,19141,29044,0.139,76,Rising
2022-01,2022,Q1,Olivia Rodrigo,Pop,Japan,Asia,5350953,3210571,2140382,33.87,3996.76,4030.63,121036,88113,0.086,100,Rising
2022-01,2022,Q1,Arctic Monkeys,Rock,Japan,Asia,4306826,2584095,1722731,28.02,3963.4,3991.42,137700,160253,0.099,84,Rising
2022-01,2022,Q1,Ed Sheeran,Pop,Japan,Asia,5138050,3082830,2055220,32.49,5044.2,5076.69,331724,138828,0.173,100,Rising
2022-01,2022,Q1,H.E.R.,R&B,Japan,Asia,490912,294547,196365,2.83,398.23,401.06,27139,5486,0.187,62,Rising
2022-01,2022,Q1,Fred Again..,Electronic,Japan,Asia,3559567,2135740,1423827,23.26,2232.15,2255.41,147896,90248,0.206,87,Declining
2022-01,2022,Q1,Blackpink,K-Pop,Japan,Asia,23582513,14149507,9433006,142.97,26582.82,26725.79,725893,459899,0.342,100,Rising
2022-01,2022,Q1,Coldplay,Rock,Japan,Asia,571427,342856,228571,3.19,273.09,276.28,25314,19266,0.236,59,Stable
2022-01,2022,Q1,Drake,Hip-Hop,Japan,Asia,2925976,1755585,1170391,15.72,2104.47,2120.19,209146,30316,0.239,69,Stable
2022-01,2022,Q1,J. Cole,Hip-Hop,Japan,Asia,5241347,3144808,2096539,27.47,5802.0,5829.47,243835,121785,0.201,87,Stable
2022-01,2022,Q1,Aespa,K-Pop,Japan,Asia,6298038,3778822,2519216,33.16,5628.66,5661.82,393039,105061,0.125,100,Rising
2022-01,2022,Q1,Rauw Alejandro,Latin,Japan,Asia,2886634,1731980,1154654,16.31,3104.1,3120.41,197273,96454,0.314,91,Stable
2022-01,2022,Q1,Arctic Monkeys,Rock,South Korea,Asia,2014694,1108081,906613,10.15,1129.59,1139.74,68233,24313,0.253,88,Rising
2022-01,2022,Q1,Giveon,R&B,South Korea,Asia,4748481,2611664,2136817,19.72,4304.55,4324.27,106814,75661,0.346,84,Rising
2022-01,2022,Q1,Frank Ocean,R&B,South Korea,Asia,3878922,2133407,1745515,16.14,5142.63,5158.77,212591,78233,0.221,62,Rising
2022-01,2022,Q1,Travis Scott,Hip-Hop,South Korea,Asia,6413835,3527609,2886226,25.08,3714.82,3739.9,489947,252166,0.124,95,Declining
2022-01,2022,Q1,Wizkid,Afrobeats,South Korea,Asia,3510740,1930907,1579833,14.2,4623.69,4637.89,123993,128020,0.344,92,Rising
2022-01,2022,Q1,J Balvin,Latin,South Korea,Asia,144614,79537,65077,0.66,178.17,178.83,7843,1621,0.331,65,Rising
2022-01,2022,Q1,Disclosure,Electronic,South Korea,Asia,4383713,2411042,1972671,20.18,3526.6,3546.78,258963,62528,0.258,100,Rising
2022-01,2022,Q1,Rema,Afrobeats,South Korea,Asia,4097274,2253500,1843774,19.98,5506.75,5526.73,266919,55801,0.158,65,Rising
2022-01,2022,Q1,Peso Pluma,Latin,South Korea,Asia,3873454,2130399,1743055,16.14,4070.36,4086.5,265218,156841,0.295,75,Rising
2022-01,2022,Q1,Peso Pluma,Latin,India,Asia,764607,168213,596394,0.31,1370.6,1370.91,30357,26920,0.245,77,Rising
2022-01,2022,Q1,Ariana Grande,Pop,India,Asia,8162405,1795729,6366676,3.52,9391.41,9394.93,346046,155826,0.1,100,Stable
2022-01,2022,Q1,21 Savage,Hip-Hop,India,Asia,2150164,473036,1677128,1.01,3355.75,3356.76,112973,103335,0.309,70,Declining
2022-01,2022,Q1,Post Malone,Hip-Hop,India,Asia,4298303,945626,3352677,1.81,6026.92,6028.73,235591,134726,0.244,93,Declining
2022-01,2022,Q1,Olivia Rodrigo,Pop,India,Asia,3999548,879900,3119648,1.86,6371.78,6373.64,277343,108925,0.322,100,Rising
2022-01,2022,Q1,Davido,Afrobeats,India,Asia,3349053,736791,2612262,1.65,2927.13,2928.78,254749,80594,0.107,89,Rising
2022-01,2022,Q1,Doja Cat,Pop,India,Asia,2615278,575361,2039917,1.08,5316.13,5317.21,136908,58719,0.245,100,Stable
2022-01,2022,Q1,Twenty One Pilots,Rock,India,Asia,2409684,530130,1879554,1.16,3843.62,3844.78,66009,106933,0.296,51,Stable
